,time_s3,open_s3,high_s3,low_s3,close_s3,vol_s3,time_s2,open_s2,high_s2,low_s2,close_s2,vol_s2,time_s1,open_s1,high_s1,low_s1,close_s1,vol_s1,time,open,high,low,close,vol
3431,2023.07.06 16:45,30451.9,30533.0,30272.1,30353.7,6299.408,2023.07.06 17:00,30353.7,30415.6,30139.2,30300.2,9874.686,2023.07.06 17:15,30300.2,30300.2,30011.2,30020.5,8609.895,2023.07.06 17:30,30020.5,30174.9,29854.5,30152.1,14836.653
3432,2023.07.06 17:00,30353.7,30415.6,30139.2,30300.2,9874.686,2023.07.06 17:15,30300.2,30300.2,30011.2,30020.5,8609.895,2023.07.06 17:30,30020.5,30174.9,29854.5,30152.1,14836.653,2023.07.06 17:45,30152.1,30210.8,30046.3,30201.6,3935.757
3433,2023.07.06 17:15,30300.2,30300.2,30011.2,30020.5,8609.895,2023.07.06 17:30,30020.5,30174.9,29854.5,30152.1,14836.653,2023.07.06 17:45,30152.1,30210.8,30046.3,30201.6,3935.757,2023.07.06 18:00,30201.6,30201.6,30055.0,30097.7,3088.812
3434,2023.07.06 17:30,30020.5,30174.9,29854.5,30152.1,14836.653,2023.07.06 17:45,30152.1,30210.8,30046.3,30201.6,3935.757,2023.07.06 18:00,30201.6,30201.6,30055.0,30097.7,3088.812,2023.07.06 18:15,30097.7,30260.0,30085.0,30242.5,2584.019
3435,2023.07.06 17:45,30152.1,30210.8,30046.3,30201.6,3935.757,2023.07.06 18:00,30201.6,30201.6,30055.0,30097.7,3088.812,2023.07.06 18:15,30097.7,30260.0,30085.0,30242.5,2584.019,2023.07.06 18:30,30242.5,30418.0,30200.0,30405.3,5658.613
3436,2023.07.06 18:00,30201.6,30201.6,30055.0,30097.7,3088.812,2023.07.06 18:15,30097.7,30260.0,30085.0,30242.5,2584.019,2023.07.06 18:30,30242.5,30418.0,30200.0,30405.3,5658.613,2023.07.06 18:45,30405.3,30475.0,30354.7,30395.0,3607.434
3437,2023.07.06 18:15,30097.7,30260.0,30085.0,30242.5,2584.019,2023.07.06 18:30,30242.5,30418.0,30200.0,30405.3,5658.613,2023.07.06 18:45,30405.3,30475.0,30354.7,30395.0,3607.434,2023.07.06 19:00,30395.0,30457.5,30333.4,30396.4,2421.696
3438,2023.07.06 18:30,30242.5,30418.0,30200.0,30405.3,5658.613,2023.07.06 18:45,30405.3,30475.0,30354.7,30395.0,3607.434,2023.07.06 19:00,30395.0,30457.5,30333.4,30396.4,2421.696,2023.07.06 19:15,30396.4,30415.6,30271.8,30338.0,1449.03
3439,2023.07.06 18:45,30405.3,30475.0,30354.7,30395.0,3607.434,2023.07.06 19:00,30395.0,30457.5,30333.4,30396.4,2421.696,2023.07.06 19:15,30396.4,30415.6,30271.8,30338.0,1449.03,2023.07.06 19:30,30338.0,30345.2,30222.5,30244.0,1815.967
3440,2023.07.06 19:00,30395.0,30457.5,30333.4,30396.4,2421.696,2023.07.06 19:15,30396.4,30415.6,30271.8,30338.0,1449.03,2023.07.06 19:30,30338.0,30345.2,30222.5,30244.0,1815.967,2023.07.06 19:45,30244.0,30316.3,30140.0,30300.0,2925.619
